date,indexcd,clsindex,retindex
2023-10-09,000001,3096.922,-0.004357
2023-10-10,000001,3075.236,-0.007002
2023-10-11,000001,3078.956,0.00121
2023-10-12,000001,3107.901,0.009401
2023-10-13,000001,3088.099,-0.006372
2023-10-16,000001,3073.813,-0.004626
2023-10-17,000001,3083.496,0.00315
2023-10-18,000001,3058.71,-0.008038
2023-10-19,000001,3005.393,-0.017431
2023-10-20,000001,2983.059,-0.007431
2023-10-23,000001,2939.291,-0.014672
2023-10-24,000001,2962.244,0.007809
2023-10-25,000001,2974.114,0.004007
2023-10-26,000001,2988.299,0.004769
2023-10-27,000001,3017.784,0.009867
2023-10-30,000001,3021.553,0.001249
2023-10-31,000001,3018.771,-0.000921
2023-11-01,000001,3023.077,0.001426
2023-11-02,000001,3009.406,-0.004522
2023-11-03,000001,3030.798,0.007108
2023-11-06,000001,3058.411,0.009111
2023-11-07,000001,3057.27,-0.000373
2023-11-08,000001,3052.373,-0.001602
2023-11-09,000001,3053.279,0.000297
2023-11-10,000001,3038.97,-0.004686
2023-11-13,000001,3046.533,0.002489
2023-11-14,000001,3056.07,0.00313
2023-11-15,000001,3072.835,0.005486
2023-11-16,000001,3050.926,-0.00713
2023-11-17,000001,3054.366,0.001128
2023-11-20,000001,3068.319,0.004568
2023-11-21,000001,3067.933,-0.000126
2023-11-22,000001,3043.611,-0.007928
2023-11-23,000001,3061.856,0.005995
2023-11-24,000001,3040.972,-0.006821
2023-11-27,000001,3031.7,-0.003049
2023-11-28,000001,3038.555,0.002261
2023-11-29,000001,3021.687,-0.005551
2023-11-30,000001,3029.673,0.002643
2023-12-01,000001,3031.636,0.000648
2023-12-04,000001,3022.914,-0.002877
2023-12-05,000001,2972.296,-0.016745
2023-12-06,000001,2968.933,-0.001131
2023-12-07,000001,2966.206,-0.000919
2023-12-08,000001,2969.559,0.00113
2023-12-11,000001,2991.439,0.007368
2023-12-12,000001,3003.438,0.004011
2023-12-13,000001,2968.761,-0.011546
2023-12-14,000001,2958.986,-0.003293
2023-12-15,000001,2942.557,-0.005552
2023-12-18,000001,2930.804,-0.003994
2023-12-19,000001,2932.391,0.000541
2023-12-20,000001,2902.11,-0.010326
2023-12-21,000001,2918.715,0.005722
2023-12-22,000001,2914.775,-0.00135
2023-12-25,000001,2918.813,0.001385
2023-12-26,000001,2898.879,-0.006829
2023-12-27,000001,2914.614,0.005428
2023-12-28,000001,2954.704,0.013755
2023-12-29,000001,2974.935,0.006847
2024-01-02,000001,2962.276,-0.004255
2024-01-03,000001,2967.247,0.001678
2024-01-04,000001,2954.349,-0.004347
2024-01-05,000001,2929.183,-0.008518
