date,stkcd,prc,ret,mktcap,vol,company
2023-10-09,000333,55.76,0.005047,391601640.87,28659545.0,美的集团 Midea
2023-10-10,000333,54.77,-0.017755,384648885.77,21499637.0,美的集团 Midea
2023-10-11,000333,54.77,0.0,384648885.77,20418379.0,美的集团 Midea
2023-10-12,000333,55.28,0.009312,388230608.09,17604242.0,美的集团 Midea
2023-10-13,000333,54.99,-0.005246,386193942.46,12996004.0,美的集团 Midea
2023-10-16,000333,55.08,0.001637,386826011.1,15020214.0,美的集团 Midea
2023-10-17,000333,55.88,0.014524,392444399.06,16830158.0,美的集团 Midea
2023-10-18,000333,55.47,-0.007337,389564975.23,10637084.0,美的集团 Midea
2023-10-19,000333,54.23,-0.022354,380856473.89,20196084.0,美的集团 Midea
2023-10-20,000333,53.18,-0.019362,373482339.69,21089804.0,美的集团 Midea
2023-10-23,000333,53.25,0.001316,373973948.64,16864366.0,美的集团 Midea
2023-10-24,000333,53.18,-0.001315,373482339.69,25019782.0,美的集团 Midea
2023-10-25,000333,52.42,-0.014291,368144871.13,25856546.0,美的集团 Midea
2023-10-26,000333,52.51,0.001717,368776939.78,15165512.0,美的集团 Midea
2023-10-27,000333,53.74,0.023424,377415211.27,25318794.0,美的集团 Midea
2023-10-30,000333,54.5,0.014142,382752679.83,16488474.0,美的集团 Midea
2023-10-31,000333,52.92,-0.028991,371656363.61,23807212.0,美的集团 Midea
2023-11-01,000333,53.01,0.001701,372288432.25,18933823.0,美的集团 Midea
2023-11-02,000333,53.18,0.003207,373482339.69,20085478.0,美的集团 Midea
2023-11-03,000333,52.8,-0.007146,370813605.41,17740644.0,美的集团 Midea
2023-11-06,000333,53.14,0.006439,373201420.3,24918224.0,美的集团 Midea
2023-11-07,000333,53.1,-0.000753,372920500.9,18898188.0,美的集团 Midea
2023-11-08,000333,52.85,-0.004708,371164754.66,21385728.0,美的集团 Midea
2023-11-09,000333,52.45,-0.007569,368355560.68,14146893.0,美的集团 Midea
2023-11-10,000333,52.7,0.004766,370111306.92,13027077.0,美的集团 Midea
2023-11-13,000333,51.06,-0.03112,358656417.9,38291558.0,美的集团 Midea
2023-11-14,000333,51.09,0.000588,358867144.35,24802793.0,美的集团 Midea
2023-11-15,000333,51.54,0.008808,362028041.1,19636284.0,美的集团 Midea
2023-11-16,000333,51.75,0.004075,363503126.25,21605533.0,美的集团 Midea
2023-11-17,000333,51.86,0.002126,364275789.9,13513422.0,美的集团 Midea
2023-11-20,000333,52.43,0.010991,368279592.45,18219075.0,美的集团 Midea
2023-11-21,000333,52.45,0.000381,368420076.75,15845902.0,美的集团 Midea
2023-11-22,000333,52.15,-0.00572,366312812.25,9786906.0,美的集团 Midea
2023-11-23,000333,52.76,0.011697,370597583.4,10103351.0,美的集团 Midea
2023-11-24,000333,52.48,-0.005307,368630803.2,15724530.0,美的集团 Midea
2023-11-27,000333,51.97,-0.009718,365048453.55,15922506.0,美的集团 Midea
2023-11-28,000333,52.53,0.010775,368982013.95,21787637.0,美的集团 Midea
2023-11-29,000333,52.01,-0.009899,365329422.15,12426538.0,美的集团 Midea
2023-11-30,000333,51.67,-0.006537,362941189.05,12861862.0,美的集团 Midea
2023-12-01,000333,50.55,-0.021676,355093398.97,31604983.0,美的集团 Midea
2023-12-04,000333,50.09,-0.0091,351862084.17,22058672.0,美的集团 Midea
2023-12-05,000333,49.22,-0.017369,345750684.42,22510318.0,美的集团 Midea
2023-12-06,000333,49.18,-0.000813,345469700.53,19114114.0,美的集团 Midea
2023-12-07,000333,50.22,0.021147,352775281.83,25021860.0,美的集团 Midea
2023-12-08,000333,50.34,0.002389,353618233.52,21811340.0,美的集团 Midea
2023-12-11,000333,51.02,0.013508,358394959.76,25201467.0,美的集团 Midea
