date,vwretd,ewretd,sprtrn
2023-10-02,-0.003498,-0.011886,7.9e-05
2023-10-03,-0.014349,-0.015225,-0.013744
2023-10-04,0.007075,0.001074,0.00811
2023-10-05,-0.000735,-0.00091,-0.001304
2023-10-06,0.011483,0.007495,0.011815
2023-10-09,0.00612,0.000943,0.006304
2023-10-10,0.00647,0.009906,0.005208
2023-10-11,0.003842,0.002814,0.004293
2023-10-12,-0.008455,-0.013191,-0.006246
2023-10-13,-0.005077,-0.004184,-0.005019
2023-10-16,0.010957,0.008919,0.010594
2023-10-17,0.001091,0.005945,-9.8e-05
2023-10-18,-0.014619,-0.015364,-0.0134
2023-10-19,-0.009179,-0.012693,-0.008483
2023-10-20,-0.012193,-0.01018,-0.012585
2023-10-23,-0.002426,-0.008234,-0.001686
2023-10-24,0.00695,0.006891,0.007266
2023-10-25,-0.014672,-0.01273,-0.01434
2023-10-26,-0.009124,-0.002212,-0.011833
2023-10-27,-0.005494,-0.009087,-0.0048
2023-10-30,0.010716,0.006928,0.01201
2023-10-31,0.006299,0.005594,0.006475
2023-11-01,0.009644,0.002807,0.010506
2023-11-02,0.020161,0.022173,0.018859
2023-11-03,0.011695,0.020834,0.009394
2023-11-06,-0.00078,-0.006333,0.001753
2023-11-07,0.002356,-0.000743,0.00284
2023-11-08,-0.000411,-0.006357,0.001005
2023-11-09,-0.008442,-0.01481,-0.008084
2023-11-10,0.013967,0.004125,0.015616
2023-11-13,-0.00033,0.000302,-0.000836
2023-11-14,0.022835,0.031136,0.019075
2023-11-15,0.001954,0.005529,0.001597
2023-11-16,-0.001165,-0.007663,0.00119
2023-11-17,0.00333,0.009963,0.001282
2023-11-20,0.007017,0.007068,0.00739
2023-11-21,-0.002977,-0.007833,-0.002021
2023-11-22,0.004067,0.004612,0.004061
2023-11-24,0.001708,0.008853,0.000597
2023-11-27,-0.001871,-0.003208,-0.001954
2023-11-28,0.000915,0.001167,0.00098
2023-11-29,0.001082,0.006047,-0.000946
2023-11-30,0.003946,0.001808,0.003784
2023-12-01,0.009181,0.019252,0.005874
2023-12-04,-0.003913,0.004928,-0.005408
2023-12-05,-0.002322,-0.008439,-0.000569
2023-12-06,-0.003542,0.000125,-0.003906
2023-12-07,0.007297,0.003563,0.007968
2023-12-08,0.004205,0.003196,0.004095
2023-12-11,0.00369,-0.004576,0.003925
2023-12-12,0.003133,-0.00421,0.004599
2023-12-13,0.0162,0.022396,0.013651
2023-12-14,0.006931,0.01816,0.002647
2023-12-15,-0.001579,-0.005318,-7.6e-05
2023-12-18,0.003856,-0.000888,0.004528
2023-12-19,0.007711,0.012567,0.005866
2023-12-20,-0.014802,-0.011489,-0.014684
2023-12-21,0.011213,0.013642,0.010302
2023-12-22,0.002434,0.007676,0.00166
2023-12-26,0.005223,0.009674,0.004232
2023-12-27,0.001989,0.005277,0.00143
